hometown_city_clean,hometown_state_clean,total_players,population,players_per_hundred_thousand
Warner Robins,GA,5,79589,6.3
Canton,GA,2,32342,6.2
Hueytown,AL,1,16694,6
Laurel,MS,1,17375,5.8
Jackson,MS,9,156803,5.7
Rex,GA,1,17522,5.7
Columbus,GA,11,204366,5.4
Smyrna,GA,3,55460,5.4
Tucker,GA,2,36764,5.4
Evans,GA,2,38452,5.2
Olive Branch,MS,2,39136,5.1
Foley,AL,1,20170,5
Forest Park,GA,1,19856,5
Johns Creek,GA,4,82068,4.9
Athens,GA,6,126118,4.8
Helena,AL,1,20680,4.8
Mableton,GA,2,41632,4.8
Fairhope,AL,1,21825,4.6
Huntsville,AL,9,210081,4.3
Albany,GA,3,70748,4.2
Pelham,AL,1,24134,4.1
Ridgeland,MS,1,24330,4.1
Sugar Hill,GA,1,24599,4.1
Homewood,AL,1,26206,3.8
Southaven,MS,2,54141,3.7
Northport,AL,1,30334,3.3
Dalton,GA,1,34255,2.9
Hinesville,GA,1,34733,2.9
Dothan,AL,2,70318,2.8
Macon,GA,4,156711,2.6
Peachtree City,GA,1,37867,2.6
Decatur,AL,1,57303,1.7
