hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Panama City,FL,"Panama City, FL",1,1254700,34521,7479,51569,21.7,0
Parkland,FL,"Parkland, FL",1,1255125,33772,2593,174295,7.7,0
Pembroke Pines,FL,"Pembroke Pines, FL",3,1255775,170346,38245,73024,22.5,0
Port St. Lucie,FL,"Port St. Lucie, FL",5,1258715,202177,36810,68647,18.2,0
St. Johns,FL,"St. Johns, FL",1,32259,62354,4426,134552,7.1,0
Tamarac,FL,"Tamarac, FL",1,1270675,71140,21660,54114,30.4,0
Valrico,FL,"Valrico, FL",1,1273700,39632,5066,84986,12.8,0
Wellington,FL,"Wellington, FL",1,1275812,61445,6800,98163,11.1,0
Wesley Chapel,FL,"Wesley Chapel, FL",2,1275875,65134,6632,93617,10.2,0
Winter Haven,FL,"Winter Haven, FL",2,1278275,48707,11994,50842,24.6,0
Albany,GA,"Albany, GA",3,1301052,70748,52805,40036,74.6,0
Athens,GA,"Athens, GA",6,1303440,126118,35046,43466,27.8,0
Dalton,GA,"Dalton, GA",1,1321380,34255,1644,49656,4.8,0
Hinesville,GA,"Hinesville, GA",1,1338964,34733,16310,49363,47,0
Johns Creek,GA,"Johns Creek, GA",4,1342425,82068,8342,133948,10.2,0
Mableton,GA,"Mableton, GA",2,1348288,41632,17445,69395,41.9,0
Macon,GA,"Macon, GA",4,1349008,156711,85154,43862,54.3,0
Peachtree City,GA,"Peachtree City, GA",1,1359724,37867,2604,103374,6.9,0
Sugar Hill,GA,"Sugar Hill, GA",1,1374180,24599,3048,89583,12.4,0
Kenner,LA,"Kenner, LA",3,2239475,66411,13140,58419,19.8,0
Metairie,LA,"Metairie, LA",4,2250115,140590,14488,65740,10.3,0
Shreveport,LA,"Shreveport, LA",7,2270000,189374,107042,41782,56.5,0
Slidell,LA,"Slidell, LA",1,2270805,28537,5054,57920,17.7,0
Ridgeland,MS,"Ridgeland, MS",1,2862520,24330,9473,64034,38.9,0
Southaven,MS,"Southaven, MS",2,2869280,54141,17580,67157,32.5,0
Bellevue,NE,"Bellevue, NE",1,3103950,62888,3923,73534,6.2,0
Grand Island,NE,"Grand Island, NE",1,3119595,52755,2020,58162,3.8,0
Kearney,NE,"Kearney, NE",1,3125055,33558,357,62695,1.1,0
Lincoln,NE,"Lincoln, NE",11,3128000,289136,11975,62566,4.1,0
Papillion,NE,"Papillion, NE",1,3138295,23875,658,95293,2.8,0
Abilene,TX,"Abilene, TX",3,4801000,125474,12791,54493,10.2,0
Alvin,TX,"Alvin, TX",1,4802272,26982,1413,59806,5.2,0
Amarillo,TX,"Amarillo, TX",5,4803000,200371,14273,55174,7.1,0
Atascocita,TX,"Atascocita, TX",1,4804462,84222,19213,106280,22.8,0
Baytown,TX,"Baytown, TX",1,4806128,82543,13424,56409,16.3,0
Beaumont,TX,"Beaumont, TX",4,4807000,115013,52938,49765,46,0
Bedford,TX,"Bedford, TX",1,4807132,49576,6477,76409,13.1,0
Belton,TX,"Belton, TX",1,4807492,22866,1992,51490,8.7,0
Burleson,TX,"Burleson, TX",1,4811428,47230,2599,84373,5.5,0
Carrollton,TX,"Carrollton, TX",2,4813024,131388,12886,87299,9.8,0
Cedar Park,TX,"Cedar Park, TX",1,4813552,74741,2530,110478,3.4,0
Cibolo,TX,"Cibolo, TX",1,4814920,31489,5744,106654,18.2,0
Conroe,TX,"Conroe, TX",3,4816432,87930,10406,67863,11.8,0
Corinth,TX,"Corinth, TX",1,4816696,22216,1307,109922,5.9,0
Corpus Christi,TX,"Corpus Christi, TX",4,4817000,318168,12440,59993,3.9,0
Dallas,TX,"Dallas, TX",62,4819000,1300239,312696,58231,24,0
El Paso,TX,"El Paso, TX",4,4824000,676395,23119,51325,3.4,0
Farmers Branch,TX,"Farmers Branch, TX",1,4825452,36091,2978,77306,8.3,0
Forney,TX,"Forney, TX",1,4826604,22770,3634,93803,16,0
Fort Worth,TX,"Fort Worth, TX",29,4827000,908469,170378,67927,18.8,0
Fresno,TX,"Fresno, TX",1,4827540,23921,13308,80362,55.6,0
Galveston,TX,"Galveston, TX",1,4828068,53092,8577,52899,16.2,0
Garland,TX,"Garland, TX",7,4829000,245075,36838,65278,15,0
Georgetown,TX,"Georgetown, TX",3,4829336,66514,3222,80416,4.8,0
Houston,TX,"Houston, TX",106,4835000,2293288,517944,56019,22.6,0
Huntsville,TX,"Huntsville, TX",2,4835528,45446,12172,35615,26.8,0
Irving,TX,"Irving, TX",1,4837000,254184,34506,69961,13.6,0
Kerrville,TX,"Kerrville, TX",1,4839040,24071,475,53644,2,0
Killeen,TX,"Killeen, TX",7,4839148,150082,58450,52072,38.9,0
Klein,TX,"Klein, TX",2,4825740,285110,41677,88012,14.6,0
Kyle,TX,"Kyle, TX",1,4839952,45147,2627,80622,5.8,0
Leander,TX,"Leander, TX",1,4842016,57696,3868,117090,6.7,0
Lewisville,TX,"Lewisville, TX",4,4842508,110077,15319,71953,13.9,0
Lubbock,TX,"Lubbock, TX",12,4845000,255537,20729,54060,8.1,0
McKinney,TX,"McKinney, TX",7,4845744,189394,22513,106437,11.9,0
Mesquite,TX,"Mesquite, TX",5,4847892,149848,35316,63706,23.6,0
Midland,TX,"Midland, TX",4,4848072,130765,9930,87900,7.6,0
New Braunfels,TX,"New Braunfels, TX",1,4850820,87549,1733,76890,2,0
New Caney,TX,"New Caney, TX",1,77357,29992,815,72093,2.7,0
North Richland Hills,TX,"North Richland Hills, TX",3,4852356,69817,4255,80932,6.1,0
Odessa,TX,"Odessa, TX",3,4853388,112640,7317,66769,6.5,0
Pflugerville,TX,"Pflugerville, TX",3,4857176,64007,10521,98938,16.4,0
Plano,TX,"Plano, TX",6,4858016,282181,24292,99729,8.6,0
Port Arthur,TX,"Port Arthur, TX",2,4858820,55757,23842,42933,42.8,0
Richardson,TX,"Richardson, TX",2,4861796,115904,13131,87720,11.3,0
Rowlett,TX,"Rowlett, TX",1,4863572,62606,13120,102965,21,0
San Angelo,TX,"San Angelo, TX",1,4864472,99401,4630,59148,4.7,0
San Antonio,TX,"San Antonio, TX",18,4865000,1434540,93565,55084,6.5,0
Stephenville,TX,"Stephenville, TX",1,4870208,20504,574,50552,2.8,0
Sugar Land,TX,"Sugar Land, TX",4,4870808,110272,7695,123733,7,0
The Colony,TX,"The Colony, TX",1,4872530,43489,4841,96901,11.1,0
Weatherford,TX,"Weatherford, TX",1,4876864,30385,1066,69953,3.5,0
Wichita Falls,TX,"Wichita Falls, TX",5,4879000,102563,13056,50856,12.7,0
Wylie,TX,"Wylie, TX",2,4880356,55426,7245,98994,13.1,0
Cedar City,UT,"Cedar City, UT",1,4911320,34246,388,55022,1.1,0
Eagle Mountain,UT,"Eagle Mountain, UT",1,4920810,42905,176,91993,0.4,0
Herriman,UT,"Herriman, UT",1,4934970,52860,326,109154,0.6,0
Layton,UT,"Layton, UT",2,4943660,80858,1446,85224,1.8,0
Millcreek,UT,"Millcreek, UT",1,4950150,63430,1764,81577,2.8,0
North Salt Lake,UT,"North Salt Lake, UT",1,4955210,21411,53,84661,0.2,0
Ogden,UT,"Ogden, UT",1,4955980,86110,1662,58284,1.9,0
Payson,UT,"Payson, UT",1,4958730,21093,143,75682,0.7,0
Riverton,UT,"Riverton, UT",1,4964340,44773,165,107674,0.4,0
Roy,UT,"Roy, UT",1,4965110,39076,260,76611,0.7,0
Springville,UT,"Springville, UT",1,4972280,34750,140,76982,0.4,0
Syracuse,UT,"Syracuse, UT",1,4974810,31715,633,114864,2,0
Taylorsville,UT,"Taylorsville, UT",2,4975360,60295,779,73325,1.3,0
Tooele,UT,"Tooele, UT",1,4976680,35223,374,76618,1.1,0
West Jordan,UT,"West Jordan, UT",4,4982950,116045,1362,90227,1.2,0
West Valley City,UT,"West Valley City, UT",2,4983470,139361,3456,75137,2.5,0
