hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Lexington,TX,"Lexington, TX",1,4842532,1303,58,55817,4.5,0.8
New Waverly,TX,"New Waverly, TX",1,4851396,1214,148,41550,12.2,0.8
Queen City,TX,"Queen City, TX",1,4860080,1273,284,36944,22.3,0.8
Tatum,TX,"Tatum, TX",1,4871924,1234,285,46250,23.1,0.8
Mendon,UT,"Mendon, UT",1,4949160,1317,8,96563,0.6,0.8
Highland Home,AL,"Highland Home, AL",1,36041,1423,252,40407,17.7,0.7
Pinson,AL,"Pinson, AL",5,0160648,7242,2986,70393,41.2,0.7
Starke,FL,"Starke, FL",4,1268525,5669,1557,43339,27.5,0.7
Windermere,FL,"Windermere, FL",2,1278050,3046,34,131392,1.1,0.7
Loganville,GA,"Loganville, GA",10,1347196,13810,4536,72820,32.8,0.7
Subligna,GA,"Subligna, GA",1,130550101002,1538,0,42813,0,0.7
Columbia,MS,"Columbia, MS",4,2815340,5998,2694,24007,44.9,0.7
Monticello,MS,"Monticello, MS",1,2848560,1411,449,25536,31.8,0.7
Mount Olive,MS,"Mount Olive, MS",1,2849520,1408,1003,53947,71.2,0.7
Wymore,NE,"Wymore, NE",1,3153835,1408,9,46786,0.6,0.7
Brock,TX,"Brock, TX",4,4811460,5894,0,132337,0,0.7
Franklin,TX,"Franklin, TX",1,4827288,1358,232,48625,17.1,0.7
Needville,TX,"Needville, TX",2,4850628,3059,168,64270,5.5,0.7
Richmond,TX,"Richmond, TX",8,4861892,11768,2618,52589,22.2,0.7
Tenaha,TX,"Tenaha, TX",1,4872188,1372,709,20962,51.7,0.7
Ashland,AL,"Ashland, AL",1,0102860,1741,493,25458,28.3,0.6
Evergreen,AL,"Evergreen, AL",2,0124808,3504,2624,36021,74.9,0.6
Gordo,AL,"Gordo, AL",1,0130736,1599,680,42449,42.5,0.6
Munford,AL,"Munford, AL",1,0152848,1582,412,27375,26,0.6
Naples,FL,"Naples, FL",12,1247625,19187,1001,125306,5.2,0.6
Blackshear,GA,"Blackshear, GA",2,1308284,3495,810,32019,23.2,0.6
Covington,GA,"Covington, GA",9,1320064,14065,6732,43881,47.9,0.6
Dacula,GA,"Dacula, GA",4,1321184,6696,3135,87666,46.8,0.6
Dawsonville,GA,"Dawsonville, GA",2,1321940,3594,123,75234,3.4,0.6
Ellaville,GA,"Ellaville, GA",1,1326980,1697,749,38688,44.1,0.6
Fort Valley,GA,"Fort Valley, GA",5,1331096,8829,6457,30574,73.1,0.6
Hogansville,GA,"Hogansville, GA",2,1339244,3224,1199,48077,37.2,0.6
Pine Mountain,GA,"Pine Mountain, GA",1,1361124,1648,688,60568,41.7,0.6
Robins AFB,GA,"Robins AFB, GA",1,1365968,1557,211,76717,13.6,0.6
Clinton,LA,"Clinton, LA",1,2215990,1665,651,51696,39.1,0.6
Port Sulphur,LA,"Port Sulphur, LA",1,2262070,1749,929,29334,53.1,0.6
Byhalia,MS,"Byhalia, MS",1,2810060,1636,830,31533,50.7,0.6
Itta Bena,MS,"Itta Bena, MS",1,2835260,1614,1461,25104,90.5,0.6
Pelahatchie,MS,"Pelahatchie, MS",1,2856200,1733,522,48629,30.1,0.6
Gretna,NE,"Gretna, NE",3,3120260,5106,19,85476,0.4,0.6
Oakland,NE,"Oakland, NE",1,3135490,1571,12,62292,0.8,0.6
Clarendon,TX,"Clarendon, TX",1,4815112,1745,221,44653,12.7,0.6
Gruver,TX,"Gruver, TX",1,4831412,1634,0,50804,0,0.6
Reform,AL,"Reform, AL",1,0164104,1929,1290,34647,66.9,0.5
Theodore,AL,"Theodore, AL",3,0175768,5949,1131,57524,19,0.5
Trussville,AL,"Trussville, AL",12,0176944,25027,1652,108070,6.6,0.5
Havana,FL,"Havana, FL",1,1229150,2028,1169,47650,57.6,0.5
Port St. Joe,FL,"Port St. Joe, FL",2,1258675,3680,631,61827,17.1,0.5
Seffner,FL,"Seffner, FL",4,1264925,8484,1460,78204,17.2,0.5
Ellijay,GA,"Ellijay, GA",1,1327092,1935,10,41348,0.5,0.5
Gordon,GA,"Gordon, GA",1,1333980,1945,986,28548,50.7,0.5
Hampton,GA,"Hampton, GA",4,1336276,8166,4960,59946,60.7,0.5
Hartwell,GA,"Hartwell, GA",2,1337144,4432,1709,34598,38.6,0.5
Homerville,GA,"Homerville, GA",1,1339748,2123,730,30676,34.4,0.5
Kennesaw,GA,"Kennesaw, GA",16,1343192,33036,6779,73977,20.5,0.5
Marietta,GA,"Marietta, GA",28,1349756,60962,19456,62585,31.9,0.5
Ocilla,GA,"Ocilla, GA",2,1357428,3696,2378,31064,64.3,0.5
Oxford,GA,"Oxford, GA",1,1358744,2022,647,46094,32,0.5
Rabun Gap,GA,"Rabun Gap, GA",1,30568,1948,85,65714,4.4,0.5
Swainsboro,GA,"Swainsboro, GA",4,1374964,7430,4402,32830,59.2,0.5
Tyrone,GA,"Tyrone, GA",4,1378044,7615,2248,94189,29.5,0.5
Amite City,LA,"Amite City, LA",2,2201885,3840,2236,39950,58.2,0.5
