School,Name,Position,Class,Hometown,High School
2023 Football Roster - University of Illinois Athletics,Bryce Barnes,DL,Sr.,"Gibson City, Ill.",GCMS
2023 Football Roster - University of Illinois Athletics,Seth Coleman,OLB,Jr.,"Melbourne, Fla.",Holy Trinity Episcopal Academy
2023 Football Roster - University of Illinois Athletics,Pat Farrell,OLB,Fr.,"Oak Lawn, Ill.",St. Rita
2023 Football Roster - University of Illinois Athletics,Patrick Mahoney III,LS,Fr.,"Northbrook, Ill.",Glenbrook North
2023 Football Roster - University of Illinois Athletics,Devin Hale,OL,So.,"Springfield, Ill.",Sacred Heart-Griffin
2023 Football Roster - University of Illinois Athletics,Julian Pearl,OL,Sr.,"Danville, Ill.",Danville
2023 Football Roster - University of Illinois Athletics,Sed McConnell,DL,So.,"Atlanta, Ga.",Westlake
2023 Football Roster - University of Illinois Athletics,TJ McMillen,OL,Fr.,"Naperville, Ill.",St. Francis
2023 Football Roster - University of Illinois Athletics,Magnus Møller,OL,R-Fr.,"Vejle, Denmark",Rødkilde Gymnasium
2023 Football Roster - University of Illinois Athletics,Jeremiah Warren,DL,Fr.,"Belleville, Mich.",Belleville
2023 Football Roster - University of Illinois Athletics,Evan Kirts,DL,Jr.,"Evergreen Park, Ill.",Brother Rice
2023 Football Roster - University of Illinois Athletics,Sam Tsagalis,OL,R-Fr.,"Arlington Heights, Ill.",Prospect
2023 Football Roster - University of Illinois Athletics,Dezmond Schuster,OL,So.,"Gonzales, La.",East Ascension
2023 Football Roster - University of Illinois Athletics,Josh Kreutz,OL,So.,"Bannockburn, Ill.",Loyola Academy
2023 Football Roster - University of Illinois Athletics,Joey Okla,OL,R-Fr.,"Hartland, Wis.",Arrowhead
2023 Football Roster - University of Illinois Athletics,Jordyn Slaughter,OL,Sr.,"Belleville, Ill.",Althoff Catholic
2023 Football Roster - University of Illinois Athletics,Will Leys,OL,So.,"Irvine, Calif.",Servite
2023 Football Roster - University of Illinois Athletics,Zachary Barlev,OL,So.,"Bolingbrook, Ill.",Plainfield East
2023 Football Roster - University of Illinois Athletics,Zach Aamland,OL,Fr.,"South Brunswick, N.J.",The Hun School
2023 Football Roster - University of Illinois Athletics,Hunter Whitenack,OL,So.,"New Carlisle, Ind.",New Prairie
2023 Football Roster - University of Illinois Athletics,Zy Crisler,OL,Jr.,"Crystal Springs, Miss.",Copiah Academy
2023 Football Roster - University of Illinois Athletics,Josh Gesky,OL,So.,"Manteno, Ill.",Manteno
2023 Football Roster - University of Illinois Athletics,Brandon Henderson,OL,Fr.,"East St.Louis, Ill.",East St.Louis
2023 Football Roster - University of Illinois Athletics,Clayton Leonard,OL,R-Fr.,"Danforth, Ill.",Iroquois West
2023 Football Roster - University of Illinois Athletics,Isaiah Adams,OL,Sr.,"Ajax, Ontario",McLellan Catholic
2023 Football Roster - University of Illinois Athletics,Luciano Elias,OL,R-Fr.,"Wilmette, Ill.",New Trier
2023 Football Roster - University of Illinois Athletics,Hank Beatty,WR,So.,"Rochester, Ill.",Rochester
2023 Football Roster - University of Illinois Athletics,Griffin Moore,TE,Jr.,"Bloomington, Ill.",Bloomington
2023 Football Roster - University of Illinois Athletics,Nate Guinn,TE,Fr.,"Vero Beach, Fla.",Vero Beach
2023 Football Roster - University of Illinois Athletics,Keion Battle,WR,So.,"Plainfield, Ill.",Oswego East
2023 Football Roster - University of Illinois Athletics,Owen Anderson,TE,R-Fr.,"Skillman, N.J.",The Hun School
2023 Football Roster - University of Illinois Athletics,Tanner Arkin,TE,So.,"Fort Collins, Colo.",Fossil Ridge
2023 Football Roster - University of Illinois Athletics,Weston Adams,WR,R-Fr.,"Shell, Wyo.",IMG Academy (Fla.)
2023 Football Roster - University of Illinois Athletics,Tyler McClure,WR,So.,"Champaign, Ill.",Centennial
2023 Football Roster - University of Illinois Athletics,Henry Boyer,TE,R-Fr.,"Chicago, Ill.",Brother Rice
2023 Football Roster - University of Illinois Athletics,Keith Randolph Jr.,DT,Jr.,"Belleville, Ill.",Belleville West
2023 Football Roster - University of Illinois Athletics,Tip Reiman,TE,Jr.,"Rapid City, S.D.",O'Gorman
